NAME,TYPE,RELIGIOUS,FREEDOM FROM TRANS IDEOLOGY,STATE,NOTES,WEBSITE
Auburn University,Private,No,Poor,ALABAMA,"Honors TDOR; offers counseling for gender ID; some academic depts have dedicated ""LGBTQ+"" pages; converted all single-occupancy bathrooms to be ""gender-neutral""",auburn.edu
The University of Alabama,Public,No,Poor,ALABAMA,"Offers Lavender graduation; hosts LGBTQIA+ dance; observes TDOR; student health insurance covers HRT; allows gender self-ID on university documents, has SafeZone training.",ua.edu
University of Alabama at Birmingham,Public,No,Poor,ALABAMA,"Runs an ""LGBTQ+"" mental health and wellness clinic; which offers letters of referral for hormones; UHS provides transgender services; incl. counseling; honors TDOR; named AL's best uni for LGBT students in 2019.",uab.edu
University of Alabama in Huntsville,Public,No,Poor,ALABAMA,"Counseling center committed to diversity; incl. gender ID; hosts ""Breaking the Binary"" workshop; Women's; Gender; and Sexuality dept. ""promotes the social awareness of. . . gender/sexual minorities. """,uah.edu
University of Alaska Fairbanks,Public,No,Poor,ALASKA,"Has an Information on LGBTQ2IA+ Students page which provides guidance on how to update name, pronouns, and gender markers.",uaf.edu
University of Alaska Anchorage,Public,No,Poor,ALASKA,"Offers an ""LGBTQ+ Support"" page that lists ""all-gender"" bathrooms, SafeZone trainings, and means for students to self-report name, pronoun, and gender identity preferences on academic and medical records.",https://www.uaa.alaska.edu/
Arizona State University,Public,No,Poor,ARIZONA,Provides transgender healthcare; group counseling; and referrals for gender-affirming services; offers Safe Zone training and gender-inclusive housing; supports student organizations like Out @ ASU; allows preferred name and gender marker changes; with gender-neutral bathrooms available campus-wide.,asu.edu
Northern Arizona University,Public,No,Poor,ARIZONA,Provides transgender healthcare including hormone therapy and surgery coverage; offers Safe Zone training and gender-inclusive housing with priority for transgender students; supports LGBTQIA student organizations; and allows preferred name changes and access to gender-neutral bathrooms.,nau.edu
University of Arizona,Public,No,Poor,ARIZONA,Offers transgender healthcare through student insurance; provides gender-affirming treatment via a multidisciplinary Trans Treatment Team; supports voice training; offers Safe Zone training; provides gender-inclusive housing through Marsha's Place and other living communities; supports LGBTQ+ student organizations and daily events; allows preferred name and pronoun changes; as well as access to gender-neutral bathrooms.,arizona.edu
Arkansas State University,Public,No,Poor,ARKANSAS,"""Gender Affirmation and Inclusion"" initative; Safe Zone trainings.",astate.edu
University of Arkansas,Public,No,Poor,ARKANSAS,Tons of LGBTQ resources; incl. resources on gender ID and pronouns; Safe Zone program.,uark.edu
California Institute of Technology,Private,No,Poor,CALIFORNIA,"Has a page dedicated to ""Gender Affirming Care"" with everything from counseling to goal planning to self- injection guidance to continuing care.",caltech.edu
"California State University, Fresno",Public,No,Poor,CALIFORNIA,"Has a ""LGBTQ+ and Gender Affirming Care"" page through its counseling center incl. provision of hormone therapy w/ no requirement that students be in or have had therapy related to gender ID.",fresnostate.edu
